time flux "flux error"
125.9131212990469 1.0001836e+00 7.1312235e-05
125.93355588776467 1.0004101e+00 7.1250324e-05
125.95399047647516 9.9940777e-01 7.1245355e-05
125.97442516513547 9.9981278e-01 7.1233168e-05
125.99485965379426 1.0002986e+00 7.1204304e-05
126.01529424244654 1.0005422e+00 7.1157345e-05
126.03572873104713 9.9946880e-01 7.1093076e-05
126.05616341964924 9.9980915e-01 7.1075337e-05
126.0765980081851 9.9981534e-01 7.0988448e-05
126.09703249672748 9.9989849e-01 7.0964663e-05
126.11746718527138 9.9988919e-01 7.1023882e-05
126.13790177374904 1.0002406e+00 7.1013295e-05
126.15833636223397 9.9955201e-01 7.0998423e-05
126.17877085065993 9.9973160e-01 7.0939088e-05
126.19920553908014 1.0003924e+00 7.1062910e-05
126.21964012750686 1.0005348e+00 7.1056311e-05
126.24007461587462 9.9974823e-01 7.1057810e-05
126.28094389254693 9.9990994e-01 7.1183356e-05
126.30137838079827 1.0004113e+00 7.1279836e-05
126.3218129691013 1.0004151e+00 7.1339338e-05
126.34224765735416 9.9920988e-01 7.1220100e-05
126.3626821455473 9.9931484e-01 7.1343871e-05
126.38311673379212 1.0000376e+00 7.1350179e-05
126.40355142192857 1.0004431e+00 7.1402705e-05
126.42398601012246 9.9988949e-01 7.1283044e-05
126.4444204981919 9.9940228e-01 7.1186914e-05
126.46485508632759 9.9989444e-01 7.1259085e-05
126.48528977440583 1.0002247e+00 7.1171795e-05
126.50572426241706 1.0000989e+00 7.1104194e-05
126.52615885043633 9.9946040e-01 7.1027192e-05
126.54659333845484 9.9930185e-01 7.0881142e-05
126.56702802640939 1.0005020e+00 7.0900984e-05
126.58746261437045 9.9997574e-01 7.0875867e-05
126.6078972022733 9.9981827e-01 7.1038550e-05
126.62833179016889 1.0000175e+00 7.0998693e-05
126.64876637801353 9.9956888e-01 7.0948176e-05
126.66920096585818 9.9996692e-01 7.0982911e-05
126.68963545364386 1.0004246e+00 7.0976828e-05
126.71007014142378 1.0002100e+00 7.1020178e-05
126.73050472921022 9.9956888e-01 7.1013448e-05
126.75093921693042 9.9970728e-01 7.1112634e-05
126.7713739046012 9.9996626e-01 7.1006929e-05
126.79180849227123 1.0006198e+00 7.1142400e-05
126.81224297994049 9.9977690e-01 7.0990201e-05
126.83267756748683 9.9927592e-01 7.1054470e-05
126.85311225515761 9.9984723e-01 7.1092654e-05
126.87354674270318 1.0008670e+00 7.1195922e-05
126.89398133025679 1.0002882e+00 7.1231225e-05
126.91441601769475 9.9930781e-01 7.1149945e-05
126.93485060524108 9.9994230e-01 7.1160124e-05
126.95528509267751 1.0002877e+00 7.1078852e-05
126.97571968011471 1.0002049e+00 7.1053328e-05
126.99615436742897 1.0000954e+00 7.1165865e-05
127.01658895486617 9.9944031e-01 7.1037146e-05
127.03702344218618 9.9967939e-01 7.1098606e-05
127.05745812950045 1.0000108e+00 7.1048715e-05
127.07789271682122 1.0000823e+00 7.1099144e-05
127.09832720402483 9.9985445e-01 7.1074712e-05
127.11876179122191 9.9976301e-01 7.1136441e-05
127.13919647842704 1.0001563e+00 7.1182156e-05
127.1596310656314 9.9981230e-01 7.1180213e-05
127.18006555271131 1.0005010e+00 7.1184411e-05
127.20050023980002 9.9964142e-01 7.1004128e-05
127.22093482688797 9.9919808e-01 7.0856448e-05
127.24136931396788 1.0000807e+00 7.0913127e-05
127.26180390093941 1.0003703e+00 7.0887632e-05
127.2822385879117 9.9962705e-01 7.0996713e-05
127.3026730748752 9.9949914e-01 7.1124079e-05
127.32310766184673 9.9940699e-01 7.1256298e-05
127.34354234870261 1.0000662e+00 7.1202718e-05
127.36397683554969 1.0001420e+00 7.1225142e-05
127.38441142240481 1.0002682e+00 7.1186303e-05
127.40484600914351 9.9904245e-01 7.1229377e-05
127.42528059599135 1.0003752e+00 7.1154842e-05
127.44571518273005 1.0007267e+00 7.1201815e-05
127.46614976935234 9.9959087e-01 7.1196009e-05
127.48658445608453 9.9954510e-01 7.1089082e-05
127.50701894270605 1.0001190e+00 7.1178190e-05
127.52745352932834 1.0001473e+00 7.1174087e-05
127.54788801594987 1.0002683e+00 7.1294220e-05
127.56832270244922 1.0001872e+00 7.1263756e-05
127.5887572889551 9.9997967e-01 7.1272225e-05
127.60919187545369 "" ""
127.62962646195956 "" ""
127.65006104834902 9.9999607e-01 7.1206749e-05
127.6704956347312 1.0001122e+00 7.1240065e-05
127.69093012111989 9.9959773e-01 7.1191949e-05
127.7113648073937 9.9974227e-01 7.1161492e-05
127.73179939377587 9.9997073e-01 7.1044742e-05
127.75223388004815 1.0003405e+00 7.1139104e-05
127.77266846620478 9.9891454e-01 7.1190108e-05
127.7931031524713 9.9953991e-01 7.1072514e-05
127.81353763862717 1.0006357e+00 7.1174400e-05
127.83397222478379 9.9994290e-01 7.1151946e-05
127.85440691081749 9.9939781e-01 7.1109549e-05
127.87484139685694 9.9944091e-01 7.1049253e-05
127.89527598289715 9.9955720e-01 7.0981114e-05
127.91571056893736 1.0000492e+00 7.0866932e-05
127.93614515485388 9.9988598e-01 7.0932307e-05
127.95657974077767 9.9960434e-01 7.0794929e-05
127.97701432669419 9.9964434e-01 7.0921400e-05
127.99744901261874 1.0006492e+00 7.0942115e-05
128.01788349842536 1.0002596e+00 7.0882888e-05
128.03831808423274 9.9970853e-01 7.0953371e-05
128.05875256991567 1.0011276e+00 7.1073693e-05
128.0791872557238 9.9974817e-01 7.1015646e-05
128.0996218414075 1.0001807e+00 7.1096118e-05
128.12005642698205 1.0005598e+00 7.1048460e-05
128.140491012673 9.9929380e-01 7.1080700e-05
128.16092559824756 9.9959505e-01 7.1111157e-05
128.18136018381483 9.9986720e-01 7.0997528e-05
128.2017946692722 9.9966168e-01 7.1100520e-05
128.22222935484024 9.9999195e-01 7.1080984e-05
128.24266394029837 9.9994123e-01 7.1112423e-05
128.26309842563933 9.9962080e-01 7.1082715e-05
128.28353311109822 1.0005385e+00 7.1022805e-05
128.30396769643266 1.0008012e+00 7.1171300e-05
128.3244021816572 9.9977386e-01 7.1040573e-05
128.3652714522177 9.9993211e-01 7.1156239e-05
128.38570603744301 1.0008078e+00 7.1270355e-05
128.4061406225519 9.9978739e-01 7.1305039e-05
128.4265752076535 9.9953502e-01 7.1296432e-05
128.4470097927624 9.9963593e-01 7.1342685e-05
128.467444377864 1.0001862e+00 7.1362709e-05
128.48787886285572 1.0005505e+00 7.1394308e-05
128.50831354784896 9.9983370e-01 7.1422553e-05
128.52874813284143 9.9968231e-01 7.1331866e-05
128.54918261770945 1.0000901e+00 7.1390685e-05
128.56961730258627 9.9982631e-01 7.1357361e-05
128.59005188745505 1.0000694e+00 7.1383045e-05
128.61048637221393 9.9939972e-01 7.1348630e-05
128.63092095697357 9.9923229e-01 7.1311530e-05
128.65135564173397 9.9887472e-01 7.1358634e-05
128.67179022636992 1.0001856e+00 7.1346192e-05
128.6922247110124 9.9986249e-01 7.1305993e-05
128.7126593956491 9.9884450e-01 7.1309070e-05
128.7330939801759 9.9939847e-01 7.1304719e-05
128.75352846470196 9.9936229e-01 7.1353694e-05
128.77396304922877 1.0002826e+00 7.1345101e-05
128.79439773374907 "" ""
128.8148322181587 9.9975079e-01 7.1302529e-05
128.83526680256182 9.9924254e-01 7.1252121e-05
128.8557013868558 9.9994212e-01 7.1266069e-05
128.87613597114978 1.0005634e+00 7.1173010e-05
128.89657055544376 9.9948823e-01 7.1275703e-05
128.91700513961405 9.9950206e-01 7.1135721e-05
128.9374397237916 9.9993974e-01 7.1192851e-05
128.9578743079619 1.0001587e+00 7.1200746e-05
128.97830889213947 9.9975771e-01 7.1164097e-05
128.99874337619985 9.9934036e-01 7.1198032e-05
129.01917806026177 9.9944574e-01 7.1151779e-05
129.03961264419922 1.0006018e+00 7.1126633e-05
129.0600471281432 1.0001748e+00 7.1237366e-05
129.08048181208142 9.9992889e-01 7.1161492e-05
129.10091639590974 9.9950403e-01 7.1114540e-05
129.12135097973805 9.9962908e-01 7.1133494e-05
129.1417854635656 9.9931908e-01 7.1167895e-05
